Product_ID,Category,Material,Season,Price,Discount_Percentage,Customer_Rating,Stock_Level,Units_Sold,Return_Rate,Customer_Age,Region,Size,Production_Cost,Revenue
P10000,Sweater,Denim,Winter,2785.8,26.2,4.6,187,107,7.73,26,East,S,1050.73,219983.48
P10001,Trousers,Wool,Summer,1218.14,1.1,3.2,153,119,7.73,36,North,S,465.58,143364.11
P10002,Dress,Linen,Spring,1595.25,35.8,4.0,337,120,6.88,37,North,XL,504.3,122898.06
P10003,Sweater,Denim,Winter,2193.6,5.5,4.8,377,112,15.52,45,South,XL,680.94,232170.62
P10004,Jeans,Cotton,Winter,1134.9,39.5,2.7,316,114,14.1,49,Central,S,673.42,78274.05
P10005,Hoodie,Wool,Spring,895.28,8.4,3.8,408,120,7.49,51,South,M,1038.82,98409.18
P10006,Dress,Linen,Spring,1652.24,17.3,3.6,98,117,3.78,33,East,M,799.46,159869.09
P10007,Dress,Cotton,Summer,424.15,38.1,,248,125,10.85,55,West,L,950.23,32818.61
P10008,Sweater,Cotton,Autumn,1327.26,47.7,,47,119,18.46,34,North,L,1183.27,82604.68
P10009,Shirt,Cotton,Winter,1647.02,18.6,3.5,370,132,3.35,28,West,L,510.1,176969.0
P10010,Jeans,Cotton,Autumn,1338.03,41.5,2.7,88,125,15.31,21,South,M,1186.33,97843.44
P10011,Sweater,Denim,Winter,573.93,9.5,2.7,354,119,12.39,57,South,L,760.17,61809.39
P10012,Jeans,Rayon,Summer,2456.51,40.4,2.6,336,125,12.18,57,North,S,61.0,183010.0
P10013,Jeans,Denim,Spring,1562.12,32.9,3.5,355,119,18.76,59,South,M,822.4,124733.72
P10014,Hoodie,Denim,Summer,2358.69,9.6,4.3,261,104,19.16,35,West,M,336.23,221754.6
P10015,Dress,Linen,Spring,1343.98,15.1,3.0,337,124,5.63,23,South,L,355.33,141488.84
P10016,Trousers,Linen,Autumn,971.99,6.6,4.1,475,125,16.36,49,West,S,452.9,113479.83
P10017,Hoodie,Rayon,Autumn,1661.51,19.1,4.2,158,148,12.8,22,East,S,729.35,198935.92
P10018,Hoodie,Linen,Summer,1370.53,10.2,3.1,25,110,8.77,32,Central,M,376.13,135380.95
P10019,Jeans,Polyester,Spring,793.34,32.2,4.0,376,114,13.65,33,North,M,1131.13,61318.84
P10020,Jacket,Rayon,Summer,2381.87,49.7,4.2,332,123,19.16,34,South,L,1086.59,147363.92
P10021,Dress,Linen,Spring,1126.64,0.6,3.7,330,141,10.82,54,North,S,1531.16,157903.1
P10022,Shirt,Rayon,Spring,395.84,27.0,3.3,278,113,18.86,32,South,M,726.88,32652.84
P10023,Hoodie,Denim,Autumn,2296.9,28.7,4.0,127,115,13.21,52,East,XL,606.66,188334.32
P10024,Trousers,Denim,Autumn,1197.42,45.7,4.9,201,116,10.18,25,West,S,815.86,75423.09
P10025,Jacket,Rayon,Spring,1135.31,25.3,3.6,326,118,13.24,52,North,XL,1010.55,100073.04
P10026,Jacket,Polyester,Spring,440.77,27.2,3.5,297,128,12.45,53,East,M,1138.78,41072.71
P10027,Shirt,Polyester,Spring,2544.56,23.6,3.7,405,123,9.01,44,East,L,569.3,239117.39
P10028,Hoodie,Rayon,Autumn,726.31,13.4,2.7,360,124,11.69,31,Central,M,1052.94,77994.07
P10029,Trousers,Linen,Autumn,1535.07,2.8,3.9,306,113,14.36,40,East,M,1051.21,168605.95
P10030,Dress,Wool,Winter,,20.4,3.3,203,131,16.94,37,Central,XL,1638.44,213512.41
P10031,T-Shirt,Polyester,Spring,1753.03,2.6,2.8,498,125,6.78,23,East,M,1175.06,213431.4
P10032,Trousers,Cotton,Winter,1464.21,27.5,3.7,401,114,1.28,41,West,L,1313.5,121016.96
P10033,Shirt,Denim,Spring,479.0,15.4,2.5,452,136,11.47,40,East,XL,1347.73,55111.82
P10034,Jacket,Rayon,Autumn,1014.17,26.7,3.5,290,128,10.3,53,West,XL,552.68,95153.49
P10035,Dress,Cotton,Winter,1612.68,6.7,2.8,398,136,2.03,29,South,L,522.04,204629.74
P10036,Trousers,Rayon,Winter,1027.7,46.6,2.6,310,115,13.02,19,East,XL,1050.33,63111.06
P10037,T-Shirt,Denim,Summer,1622.02,44.7,4.6,395,117,18.89,44,East,L,643.57,104946.32
P10038,T-Shirt,Denim,Spring,1909.05,9.5,4.8,435,105,8.64,49,South,XL,985.72,181407.48
P10039,Jeans,Polyester,Autumn,2077.5,17.2,3.0,259,126,17.99,46,Central,M,729.21,216741.42
P10040,Jeans,Polyester,Summer,764.29,30.7,3.8,431,125,16.45,57,West,M,874.43,66206.62
P10041,Sweater,Cotton,Summer,2817.99,4.8,3.2,240,100,4.07,57,South,S,850.98,268272.65
P10042,Shirt,Rayon,Spring,1960.49,17.7,3.7,12,103,15.96,50,South,XL,968.29,166188.78
