Product_ID,Actual_Demand,Logistic_Regression_Prediction,Random_Forest_Prediction,Gradient_Boosting_Prediction
P0001,Medium,Medium,Medium,Medium
P0002,High,High,High,High
P0003,Medium,Medium,Medium,Medium
P0004,Medium,Low,Medium,Medium
P0005,Low,Low,High,Low
P0006,Low,High,Low,Low
P0007,Low,Low,Low,Low
P0008,High,High,High,High
P0009,Medium,Medium,Low,Medium
P0010,Medium,Medium,Medium,Medium
P0011,Low,Low,Medium,High
P0012,High,High,High,High
P0013,High,Low,High,High
P0014,Low,Low,Low,Low
P0015,Low,Low,Low,Low
P0016,Low,Low,Low,Low
P0017,Medium,Medium,Medium,Medium
P0018,Medium,Medium,Medium,Medium
P0019,Medium,Medium,Medium,Medium
P0020,Low,Low,Low,Low
P0021,Medium,Medium,Medium,Medium
P0022,Low,Low,Low,Low
P0023,Low,High,Low,Low
P0024,Medium,Medium,High,Low
P0025,Medium,Low,High,Medium
P0026,High,High,High,High
P0027,Low,Low,Medium,Low
P0028,Medium,Medium,Medium,Medium
P0029,Medium,Medium,Medium,Medium
P0030,Low,High,Low,Low
P0031,Medium,Medium,Medium,Medium
P0032,Low,High,Low,Low
P0033,Low,Low,Medium,Low
P0034,High,Low,High,High
P0035,High,High,High,High
P0036,High,High,Low,High
P0037,Medium,Medium,Medium,Medium
P0038,Low,Low,Low,Low
P0039,Medium,Medium,Medium,Medium
P0040,Medium,Medium,Medium,Medium
P0041,Low,Low,Low,Low
P0042,Medium,Medium,Medium,Medium
P0043,Low,Low,Low,Low
P0044,High,High,High,High
P0045,Low,Medium,Low,Low
P0046,Medium,Medium,Medium,Medium
P0047,Medium,Medium,Medium,Medium
P0048,Medium,Low,Medium,Medium
P0049,Medium,Medium,Medium,Medium
P0050,Low,Low,Low,Low
P0051,High,High,High,High
P0052,High,High,Medium,High
P0053,High,High,Medium,High
P0054,High,High,Medium,High
P0055,Medium,Low,Medium,Medium
P0056,High,High,High,High
P0057,Low,Medium,Low,Low
P0058,Low,High,Low,Low
P0059,Low,Low,Low,Low
P0060,Medium,Medium,Medium,Medium
P0061,Medium,Medium,Medium,Medium
P0062,Low,Low,Low,Low
P0063,High,High,High,High
P0064,Medium,Medium,Medium,Low
P0065,Low,Low,Low,Low
P0066,Medium,Medium,Medium,High
P0067,Low,Medium,Low,Low
P0068,High,High,High,High
P0069,Low,Low,Low,Low
P0070,High,Low,High,High
P0071,High,High,Low,High
P0072,Low,Low,Low,Medium
P0073,Low,Low,Low,Low
P0074,High,High,High,High
P0075,Medium,Medium,Medium,Medium
P0076,Medium,Medium,Medium,Medium
P0077,High,High,High,High
P0078,Low,Low,Low,Low
P0079,Medium,Medium,Medium,Medium
P0080,Low,Low,Medium,Low
P0081,High,High,High,High
P0082,Medium,Medium,Medium,Medium
P0083,Medium,Low,Medium,Medium
P0084,Low,Low,Low,Low
P0085,Medium,Medium,High,Medium
P0086,Medium,Medium,Medium,Medium
P0087,Medium,Medium,Medium,Medium
P0088,Medium,Medium,Medium,Medium
P0089,High,High,High,High
P0090,Medium,Medium,Medium,Medium
P0091,Low,Low,Low,Low
P0092,Medium,Medium,High,Medium
P0093,High,High,High,High
P0094,Medium,Low,Medium,Medium
P0095,High,Medium,Medium,High
P0096,Medium,Low,High,Medium
P0097,Medium,Low,Medium,Medium
P0098,Medium,Medium,Medium,Medium
P0099,Low,Low,Low,Low
P0100,Low,Low,Low,Low
P0101,Low,Medium,Low,Low
P0102,Medium,Medium,Medium,Medium
P0103,Medium,Medium,Medium,Medium
P0104,Medium,Low,Medium,Medium
